Run_ID,Replica_ID,Status,Msgs_Sent,Msgs_Recv,Consensus_Latency_s,Total_Wait_Time_s,Stop_Time_s,Resume_Time_s,Run_Total_Successes,Run_Total_Failures
run_1.log,3,SUCCESS,6,17,0.409527,8.12381,,14.2238,4,0
run_1.log,0,SUCCESS,9,12,0.411986,0.411986,6.1,6.51199,4,0
run_1.log,1,SUCCESS,6,17,0.412124,2.98355,,9.08355,4,0
run_1.log,2,SUCCESS,6,17,0.15,5.29286,,11.6929,4,0
run_10.log,3,SUCCESS,6,17,0.159527,7.87381,,14.0738,4,0
run_10.log,0,SUCCESS,9,12,0.161986,0.161986,6.2,6.36199,4,0
run_10.log,1,SUCCESS,6,17,0.162124,2.73355,,8.93355,4,0
run_10.log,2,SUCCESS,6,17,0.2,5.34286,,11.5429,4,0
run_2.log,3,SUCCESS,6,15,0.209527,7.92381,,14.7238,4,0
run_2.log,0,SUCCESS,9,10,0.211986,0.211986,6.8,7.01199,4,0
run_2.log,1,SUCCESS,6,15,0.212124,2.78355,,9.58355,4,0
run_2.log,2,SUCCESS,6,14,0.25,5.39286,,12.1929,4,0
run_3.log,3,SUCCESS,6,16,0.209527,7.92381,,14.1238,4,0
run_3.log,0,SUCCESS,9,11,0.211986,0.211986,6.2,6.41199,4,0
run_3.log,1,SUCCESS,6,15,0.112124,2.68355,,8.98355,4,0
run_3.log,2,SUCCESS,6,15,0.25,5.39286,,11.5929,4,0
run_4.log,3,SUCCESS,6,17,0.209522,7.92381,,14.1238,4,0
run_4.log,0,SUCCESS,9,12,0.211986,0.211986,6.2,6.41199,4,0
run_4.log,1,SUCCESS,6,17,0.212124,2.78355,,8.98355,4,0
run_4.log,2,SUCCESS,6,17,0.25,5.39286,,11.5929,4,0
run_5.log,3,SUCCESS,6,17,0.209522,7.92381,,14.1238,4,0
run_5.log,0,SUCCESS,9,12,0.211986,0.211986,6.2,6.41199,4,0
run_5.log,1,SUCCESS,6,17,0.212124,2.78355,,8.98355,4,0
run_5.log,2,SUCCESS,6,17,0.25,5.39286,,11.5929,4,0
run_6.log,3,SUCCESS,6,17,0.209522,7.92381,,14.1238,4,0
run_6.log,0,SUCCESS,9,12,0.211986,0.211986,6.2,6.41199,4,0
run_6.log,1,SUCCESS,6,17,0.212124,2.78355,,8.98355,4,0
run_6.log,2,SUCCESS,6,17,0.25,5.39286,,11.5929,4,0
run_7.log,3,SUCCESS,6,17,0.159527,7.87381,,14.0738,4,0
run_7.log,0,SUCCESS,9,12,0.161986,0.161986,6.2,6.36199,4,0
run_7.log,1,SUCCESS,6,17,0.162124,2.73355,,8.93355,4,0
run_7.log,2,SUCCESS,6,17,0.2,5.34286,,11.5429,4,0
run_8.log,3,SUCCESS,6,17,0.159527,7.87381,,14.0738,4,0
run_8.log,0,SUCCESS,9,12,0.161986,0.161986,6.2,6.36199,4,0
run_8.log,1,SUCCESS,6,17,0.162124,2.73355,,8.93355,4,0
run_8.log,2,SUCCESS,6,17,0.2,5.34286,,11.5429,4,0
run_9.log,3,SUCCESS,6,17,0.159527,7.87381,,14.0738,4,0
run_9.log,0,SUCCESS,9,12,0.161986,0.161986,6.2,6.36199,4,0
run_9.log,1,SUCCESS,6,17,0.162124,2.73355,,8.93355,4,0
run_9.log,2,SUCCESS,6,17,0.2,5.34286,,11.5429,4,0
