b,sigma_lat_m,delta_m,effective_delta_m,claim_kind,k,repetitions,false_certificate_applicable,false_lane_certificates,false_certificate_rate,wilson95_low,wilson95_high,conflicting_cooccupancy_runs,conflicting_cooccupancy_rate,conflicting_cooccupancy_wilson95_low,conflicting_cooccupancy_wilson95_high,gate_induced_conflicting_cooccupancy_runs,background_conflicting_cooccupancy_runs,background_conflicting_cooccupancy_rate,prediction_support_coverage,mean_binomial_prediction,mean_binomial_prediction_available_runs,honest_lane_accepts_total,honest_lane_evaluations_total,pooled_q0_empirical,pooled_q1_empirical,mean_honest_lane_accepts,mean_h_lane,mean_b_sig,mean_b_sig_cert,mean_b_sig_attempt,b_sig_attempt_coverage,throughput_veh_per_s,throughput_veh_per_min,wait_mean_s,wait_p95_s,quiet_percent,singleton_quiet_percent,singleton_signed_unknown_percent,singleton_left_turn_forced_percent,mean_throughput_veh_per_s,mean_throughput_veh_per_min,mean_wait_s,p95_wait_s,wait_sample_count,mean_quiet_percent,mean_signed_unknown_singleton_percent,mean_left_table_forced_singleton_percent,mean_quiet_count,mean_signed_unknown_singleton_count,mean_left_table_forced_singleton_count,mean_batch_size
0,0.5,0.0,0.0,HONEST_CONTROL,3.0,1,False,0,0.0,0.0,0.7934506856227626,0,0.0,0.0,0.7934506856227626,0,0,0.0,0.0,,,15,15,,1.0,15.0,15.0,0.0,0.0,0.0,1.0,0.4419889502762431,26.519337016574585,36.2,42.75,0.0,0.0,0.0,50.0,0.4419889502762431,26.519337016574585,36.2,42.75,16,0.0,0.0,50.0,0.0,0.0,8.0,1.3636363636363635
1,0.5,1.61,1.61,FALSE_PHYSICAL_LANE,3.0,20,True,19,0.95,0.763868806553258,0.9911185511992047,19,0.95,0.763868806553258,0.9911185511992047,19,0,0.0,1.0,0.7566201126918328,0.7566201126918328,135,285,0.47368421052631576,,6.75,14.25,0.95,0.95,1.0,1.0,0.46382362446155184,27.829417467693112,34.8721875,45.015,0.3125,0.3125,0.0,43.75,0.46382362446155184,27.829417467693112,34.8721875,45.015,320,0.3125,0.0,43.75,0.05,0.0,7.0,1.226931401931402
1,0.5,1.75,1.75,FALSE_PHYSICAL_LANE,3.0,20,True,17,0.85,0.6395811352592431,0.9476312541037835,17,0.85,0.6395811352592431,0.9476312541037835,17,0,0.0,1.0,0.4630539162112976,0.4630539162112976,110,285,0.38596491228070173,,5.5,14.25,0.85,0.85,1.0,1.0,0.4996112759885085,29.97667655931051,32.4909375,42.225,0.9375,0.9375,0.0,43.75,0.4996112759885085,29.97667655931051,32.4909375,42.225,320,0.9375,0.0,43.75,0.15,0.0,7.0,1.2762137862137861
1,0.5,2.0,2.0,FALSE_PHYSICAL_LANE,3.0,20,True,2,0.1,0.027866481213768224,0.3010336452284873,2,0.1,0.027866481213768224,0.3010336452284873,2,0,0.0,1.0,0.07549728185001953,0.07549728185001953,61,300,0.20333333333333334,,3.05,15.0,0.1,0.1,1.0,1.0,0.5965869441063959,35.79521664638375,27.103749999999998,37.005,5.625,5.625,0.0,43.4375,0.5965869441063959,35.79521664638375,27.103749999999998,37.005,320,5.625,0.0,43.4375,0.9,0.0,6.95,1.1488003663003663
2,0.5,1.61,1.61,FALSE_PHYSICAL_LANE,3.0,20,True,20,1.0,0.8388748419471806,1.0,20,1.0,0.8388748419471806,1.0,20,0,0.0,1.0,0.88850297104097,0.88850297104097,128,277,0.4620938628158845,,6.4,13.85,2.0,2.0,2.0,1.0,0.4644796251981054,27.86877751188632,34.669375,43.4,0.0,0.0,0.0,43.4375,0.4644796251981054,27.86877751188632,34.669375,43.4,320,0.0,0.0,43.4375,0.0,0.0,6.95,1.2704545454545455
2,0.5,1.75,1.75,FALSE_PHYSICAL_LANE,3.0,20,True,16,0.8,0.5839825677481064,0.919342337420202,16,0.8,0.5839825677481064,0.919342337420202,16,0,0.0,1.0,0.6255703088823885,0.6255703088823885,97,269,0.36059479553903345,,4.85,13.45,1.55,1.55,1.95,1.0,0.4952244368250925,29.713466209505548,32.888125,43.114999999999995,1.25,1.25,0.0,43.75,0.4952244368250925,29.713466209505548,32.888125,43.114999999999995,320,1.25,0.0,43.75,0.2,0.0,7.0,1.2236122211122211
2,0.5,2.0,2.0,FALSE_PHYSICAL_LANE,3.0,20,True,8,0.4,0.21880653237281705,0.6134184992377469,8,0.4,0.21880653237281705,0.6134184992377469,8,0,0.0,1.0,0.16872140144396006,0.16872140144396006,58,279,0.2078853046594982,,2.9,13.95,0.8,0.8,2.0,1.0,0.5518806478433338,33.11283887060003,29.7475,41.91500000000001,3.75,3.75,0.0,43.75,0.5518806478433338,33.11283887060003,29.7475,41.91500000000001,320,3.75,0.0,43.75,0.6,0.0,7.0,1.1767565767565766
3,0.5,1.61,1.61,FALSE_PHYSICAL_LANE,3.0,20,True,19,0.95,0.763868806553258,0.9911185511992047,19,0.95,0.763868806553258,0.9911185511992047,19,0,0.0,1.0,0.9354838176307378,0.9354838176307378,109,251,0.4342629482071713,,5.45,12.55,2.85,2.85,3.0,1.0,0.4751828097164798,28.510968582988788,34.034375,43.405,0.3125,0.3125,0.0,43.4375,0.4751828097164798,28.510968582988788,34.034375,43.405,320,0.3125,0.0,43.4375,0.05,0.0,6.95,1.2546453546453546
3,0.5,1.75,1.75,FALSE_PHYSICAL_LANE,3.0,20,True,17,0.85,0.6395811352592431,0.9476312541037835,17,0.85,0.6395811352592431,0.9476312541037835,17,0,0.0,1.0,0.786165092784531,0.786165092784531,81,254,0.3188976377952756,,4.05,12.7,2.5,2.5,2.95,1.0,0.4852548324795265,29.11528994877159,33.5178125,43.4,0.9375,0.9375,0.0,43.75,0.4852548324795265,29.11528994877159,33.5178125,43.4,320,0.9375,0.0,43.75,0.15,0.0,7.0,1.2322427572427572
3,0.5,2.0,2.0,FALSE_PHYSICAL_LANE,3.0,20,True,8,0.4,0.21880653237281705,0.6134184992377469,8,0.4,0.21880653237281705,0.6134184992377469,8,0,0.0,1.0,0.34111411350362075,0.34111411350362075,41,260,0.1576923076923077,,2.05,13.0,1.2,1.2,3.0,1.0,0.5638590530794831,33.83154318476899,28.8509375,39.8,3.75,3.75,0.0,43.75,0.5638590530794831,33.83154318476899,28.8509375,39.8,320,3.75,0.0,43.75,0.6,0.0,7.0,1.2227064602064601
4,0.5,1.61,1.61,FALSE_PHYSICAL_LANE,3.0,20,True,19,0.95,0.763868806553258,0.9911185511992047,19,0.95,0.763868806553258,0.9911185511992047,19,0,0.0,1.0,0.9492698221039078,0.9492698221039078,93,235,0.39574468085106385,,4.65,11.75,3.35,3.35,3.55,1.0,0.46063807333710677,27.638284400226407,35.0496875,45.010000000000005,0.3125,0.3125,0.0,43.75,0.46063807333710677,27.638284400226407,35.0496875,45.010000000000005,320,0.3125,0.0,43.75,0.05,0.0,7.0,1.2653013653013652
4,0.5,1.75,1.75,FALSE_PHYSICAL_LANE,3.0,20,True,17,0.85,0.6395811352592431,0.9476312541037835,17,0.85,0.6395811352592431,0.9476312541037835,17,0,0.0,1.0,0.8948972426633898,0.8948972426633898,66,236,0.2796610169491525,,3.3,11.8,3.25,3.25,3.85,1.0,0.48846218195802427,29.307730917481454,33.2753125,43.02,0.9375,0.9375,0.0,43.75,0.48846218195802427,29.307730917481454,33.2753125,43.02,320,0.9375,0.0,43.75,0.15,0.0,7.0,1.2347652347652347
4,0.5,2.0,2.0,FALSE_PHYSICAL_LANE,3.0,20,True,14,0.7,0.4810271816464765,0.8545227551323956,14,0.7,0.4810271816464765,0.8545227551323956,14,0,0.0,1.0,0.5701843109690197,0.5701843109690197,42,238,0.17647058823529413,,2.1,11.9,2.75,2.75,3.95,1.0,0.5191509313173054,31.149055879038325,31.4225,41.82000000000001,1.875,1.875,0.0,43.75,0.5191509313173054,31.149055879038325,31.4225,41.82000000000001,320,1.875,0.0,43.75,0.3,0.0,7.0,1.2352489177489177
5,0.5,1.61,1.61,FALSE_PHYSICAL_LANE,3.0,20,True,20,1.0,0.8388748419471806,1.0,20,1.0,0.8388748419471806,1.0,20,0,0.0,1.0,0.9092553285684133,0.9092553285684133,81,198,0.4090909090909091,,4.05,9.9,4.2,4.2,4.2,1.0,0.4721215263194264,28.327291579165585,34.140625,43.5,0.0,0.0,0.0,43.75,0.4721215263194264,28.327291579165585,34.140625,43.5,320,0.0,0.0,43.75,0.0,0.0,7.0,1.2485431235431235
5,0.5,1.75,1.75,FALSE_PHYSICAL_LANE,3.0,20,True,19,0.95,0.763868806553258,0.9911185511992047,19,0.95,0.763868806553258,0.9911185511992047,19,0,0.0,1.0,0.8620003037663846,0.8620003037663846,64,206,0.3106796116504854,,3.2,10.3,4.05,4.05,4.3,1.0,0.48280614867196536,28.96836892031792,33.4875,43.0,0.3125,0.3125,0.0,43.75,0.48280614867196536,28.96836892031792,33.4875,43.0,320,0.3125,0.0,43.75,0.05,0.0,7.0,1.2530344655344654
5,0.5,2.0,2.0,FALSE_PHYSICAL_LANE,3.0,20,True,19,0.95,0.763868806553258,0.9911185511992047,19,0.95,0.763868806553258,0.9911185511992047,19,0,0.0,1.0,0.7474289565489414,0.7474289565489414,39,215,0.1813953488372093,,1.95,10.75,4.45,4.45,4.7,1.0,0.4779041962298565,28.674251773791394,33.8221875,43.0,0.3125,0.3125,0.0,43.75,0.4779041962298565,28.674251773791394,33.8221875,43.0,320,0.3125,0.0,43.75,0.05,0.0,7.0,1.2823942723942723
6,0.5,1.61,1.61,FALSE_PHYSICAL_LANE,3.0,20,True,20,1.0,0.8388748419471806,1.0,20,1.0,0.8388748419471806,1.0,20,0,0.0,1.0,0.9495614239292023,0.9495614239292023,78,191,0.4083769633507853,,3.9,9.55,4.25,4.25,4.25,1.0,0.4683348718697045,28.10009231218227,34.4184375,43.405,0.0,0.0,0.0,43.75,0.4683348718697045,28.10009231218227,34.4184375,43.405,320,0.0,0.0,43.75,0.0,0.0,7.0,1.24261655011655
6,0.5,1.75,1.75,FALSE_PHYSICAL_LANE,3.0,20,True,20,1.0,0.8388748419471806,1.0,20,1.0,0.8388748419471806,1.0,20,0,0.0,1.0,0.879560080511275,0.879560080511275,62,199,0.31155778894472363,,3.1,9.95,4.3,4.3,4.3,1.0,0.450547769485466,27.03286616912796,35.6721875,45.2,0.0,0.0,0.0,43.75,0.450547769485466,27.03286616912796,35.6721875,45.2,320,0.0,0.0,43.75,0.0,0.0,7.0,1.2729062604062604
