b,sigma_lat_m,delta_m,effective_delta_m,claim_kind,k,repetitions,false_certificate_applicable,false_lane_certificates,false_certificate_rate,wilson95_low,wilson95_high,conflicting_cooccupancy_runs,conflicting_cooccupancy_rate,conflicting_cooccupancy_wilson95_low,conflicting_cooccupancy_wilson95_high,gate_induced_conflicting_cooccupancy_runs,background_conflicting_cooccupancy_runs,background_conflicting_cooccupancy_rate,prediction_support_coverage,mean_binomial_prediction,mean_binomial_prediction_available_runs,honest_lane_accepts_total,honest_lane_evaluations_total,pooled_q0_empirical,pooled_q1_empirical,mean_honest_lane_accepts,mean_h_lane,mean_b_sig,mean_b_sig_cert,mean_b_sig_attempt,b_sig_attempt_coverage,throughput_veh_per_s,throughput_veh_per_min,wait_mean_s,wait_p95_s,quiet_percent,singleton_quiet_percent,singleton_signed_unknown_percent,singleton_left_turn_forced_percent,mean_throughput_veh_per_s,mean_throughput_veh_per_min,mean_wait_s,p95_wait_s,wait_sample_count,mean_quiet_percent,mean_signed_unknown_singleton_percent,mean_left_table_forced_singleton_percent,mean_quiet_count,mean_signed_unknown_singleton_count,mean_left_table_forced_singleton_count,mean_batch_size
1,0.5,1.75,1.75,FALSE_PHYSICAL_LANE,1.0,20,True,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938,0,0,0.0,1.0,2.582145091385445e-08,2.582145091385445e-08,4,299,0.013377926421404682,,0.2,14.95,0.0,0.0,1.0,1.0,0.618835354906865,37.1301212944119,25.856875,34.715,6.25,6.25,0.0,43.75,0.618835354906865,37.1301212944119,25.856875,34.715,320,6.25,0.0,43.75,1.0,0.0,7.0,1.1341117216117216
1,0.5,1.75,1.75,FALSE_PHYSICAL_LANE,2.0,20,True,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938,0,0,0.0,1.0,0.002264111581599975,0.002264111581599975,21,300,0.07,,1.05,15.0,0.0,0.0,1.0,1.0,0.6141278305657384,36.8476698339443,26.05625,35.0,6.25,6.25,0.0,43.75,0.6141278305657384,36.8476698339443,26.05625,35.0,320,6.25,0.0,43.75,1.0,0.0,7.0,1.1448842823842824
1,0.5,1.75,1.75,FALSE_PHYSICAL_LANE,3.0,20,True,17,0.85,0.6395811352592431,0.9476312541037835,17,0.85,0.6395811352592431,0.9476312541037835,17,0,0.0,1.0,0.46305391621129754,0.46305391621129754,110,285,0.38596491228070173,,5.5,14.25,0.85,0.85,1.0,1.0,0.4996112759885085,29.97667655931051,32.4909375,42.225,0.9375,0.9375,0.0,43.75,0.4996112759885085,29.97667655931051,32.4909375,42.225,320,0.9375,0.0,43.75,0.15,0.0,7.0,1.2762137862137861
2,0.5,1.75,1.75,FALSE_PHYSICAL_LANE,1.0,20,True,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938,0,0,0.0,1.0,1.3931225927781726e-06,1.3931225927781726e-06,5,279,0.017921146953405017,,0.25,13.95,0.0,0.0,2.0,1.0,0.6163031853864442,36.978191123186654,25.9634375,35.010000000000005,6.25,6.25,0.0,43.75,0.6163031853864442,36.978191123186654,25.9634375,35.010000000000005,320,6.25,0.0,43.75,1.0,0.0,7.0,1.1628205128205127
2,0.5,1.75,1.75,FALSE_PHYSICAL_LANE,2.0,20,True,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938,0,0,0.0,1.0,0.011584026783330535,0.011584026783330535,19,280,0.06785714285714285,,0.95,14.0,0.0,0.0,2.0,1.0,0.6142180729671083,36.853084378026495,26.0534375,34.7,6.5625,6.5625,0.0,43.75,0.6142180729671083,36.853084378026495,26.0534375,34.7,320,6.5625,0.0,43.75,1.05,0.0,7.0,1.1496336996336995
2,0.5,1.75,1.75,FALSE_PHYSICAL_LANE,3.0,20,True,16,0.8,0.5839825677481064,0.919342337420202,16,0.8,0.5839825677481064,0.919342337420202,16,0,0.0,1.0,0.6255703088823886,0.6255703088823886,97,269,0.36059479553903345,,4.85,13.45,1.55,1.55,1.95,1.0,0.4952244368250925,29.713466209505548,32.888125,43.114999999999995,1.25,1.25,0.0,43.75,0.4952244368250925,29.713466209505548,32.888125,43.114999999999995,320,1.25,0.0,43.75,0.2,0.0,7.0,1.2236122211122211
3,0.5,1.75,1.75,FALSE_PHYSICAL_LANE,1.0,20,True,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938,0,0,0.0,1.0,6.525650432874603e-05,6.525650432874603e-05,4,260,0.015384615384615385,,0.2,13.0,0.0,0.0,3.0,1.0,0.6170084048526571,37.02050429115942,25.93375,35.5,6.5625,6.5625,0.0,43.75,0.6170084048526571,37.02050429115942,25.93375,35.5,320,6.5625,0.0,43.75,1.05,0.0,7.0,1.1312728937728938
3,0.5,1.75,1.75,FALSE_PHYSICAL_LANE,2.0,20,True,1,0.05,0.008881448800795402,0.23613119344674205,1,0.05,0.008881448800795402,0.23613119344674205,1,0,0.0,1.0,0.05144250941844396,0.05144250941844396,14,260,0.05384615384615385,,0.7,13.0,0.15,0.15,3.0,1.0,0.6095103167569299,36.57061900541579,26.4040625,35.5,5.9375,5.9375,0.0,43.75,0.6095103167569299,36.57061900541579,26.4040625,35.5,320,5.9375,0.0,43.75,0.95,0.0,7.0,1.1569297369297369
3,0.5,1.75,1.75,FALSE_PHYSICAL_LANE,3.0,20,True,17,0.85,0.6395811352592431,0.9476312541037835,17,0.85,0.6395811352592431,0.9476312541037835,17,0,0.0,1.0,0.786165092784531,0.786165092784531,81,254,0.3188976377952756,,4.05,12.7,2.5,2.5,2.95,1.0,0.4852548324795265,29.11528994877159,33.5178125,43.4,0.9375,0.9375,0.0,43.75,0.4852548324795265,29.11528994877159,33.5178125,43.4,320,0.9375,0.0,43.75,0.15,0.0,7.0,1.2322427572427572
4,0.5,1.75,1.75,FALSE_PHYSICAL_LANE,1.0,20,True,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938,0,0,0.0,1.0,0.002439163636853129,0.002439163636853129,1,240,0.004166666666666667,,0.05,12.0,0.0,0.0,4.0,1.0,0.6149626791419844,36.89776074851907,26.0196875,35.0,6.25,6.25,0.0,43.75,0.6149626791419844,36.89776074851907,26.0196875,35.0,320,6.25,0.0,43.75,1.0,0.0,7.0,1.1586996336996336
4,0.5,1.75,1.75,FALSE_PHYSICAL_LANE,2.0,20,True,3,0.15,0.052368745896216595,0.36041886474075696,3,0.15,0.052368745896216595,0.36041886474075696,3,0,0.0,1.0,0.18912398412695708,0.18912398412695708,14,240,0.058333333333333334,,0.7,12.0,0.6,0.6,4.0,1.0,0.5873901602719528,35.243409616317166,27.6525,38.620000000000005,5.3125,5.3125,0.0,43.75,0.5873901602719528,35.243409616317166,27.6525,38.620000000000005,320,5.3125,0.0,43.75,0.85,0.0,7.0,1.1880494505494505
4,0.5,1.75,1.75,FALSE_PHYSICAL_LANE,3.0,20,True,17,0.85,0.6395811352592431,0.9476312541037835,17,0.85,0.6395811352592431,0.9476312541037835,17,0,0.0,1.0,0.8948972426633895,0.8948972426633895,66,236,0.2796610169491525,,3.3,11.8,3.25,3.25,3.85,1.0,0.48846218195802427,29.307730917481454,33.2753125,43.02,0.9375,0.9375,0.0,43.75,0.48846218195802427,29.307730917481454,33.2753125,43.02,320,0.9375,0.0,43.75,0.15,0.0,7.0,1.2347652347652347
5,0.5,1.75,1.75,FALSE_PHYSICAL_LANE,1.0,20,True,1,0.05,0.008881448800795402,0.23613119344674205,1,0.05,0.008881448800795402,0.23613119344674205,1,0,0.0,1.0,0.06589784204984042,0.06589784204984042,1,219,0.0045662100456621,,0.05,10.95,0.25,0.25,5.0,1.0,0.6081038305670199,36.486229834021195,26.4775,35.5,5.9375,5.9375,0.0,43.75,0.6081038305670199,36.486229834021195,26.4775,35.5,320,5.9375,0.0,43.75,0.95,0.0,7.0,1.1604761904761904
5,0.5,1.75,1.75,FALSE_PHYSICAL_LANE,2.0,20,True,10,0.5,0.2992980081982123,0.7007019918017877,10,0.5,0.2992980081982123,0.7007019918017877,10,0,0.0,1.0,0.5044350248818502,0.5044350248818502,15,213,0.07042253521126761,,0.75,10.65,2.4,2.4,4.9,1.0,0.5288619902555513,31.731719415333075,31.07375,42.605000000000004,3.125,3.125,0.0,43.75,0.5288619902555513,31.731719415333075,31.07375,42.605000000000004,320,3.125,0.0,43.75,0.5,0.0,7.0,1.2101689976689975
5,0.5,1.75,1.75,FALSE_PHYSICAL_LANE,3.0,20,True,19,0.95,0.763868806553258,0.9911185511992047,19,0.95,0.763868806553258,0.9911185511992047,19,0,0.0,1.0,0.8620003037663846,0.8620003037663846,64,206,0.3106796116504854,,3.2,10.3,4.05,4.05,4.3,1.0,0.48280614867196536,28.96836892031792,33.4875,43.0,0.3125,0.3125,0.0,43.75,0.48280614867196536,28.96836892031792,33.4875,43.0,320,0.3125,0.0,43.75,0.05,0.0,7.0,1.2530344655344654
6,0.5,1.75,1.75,FALSE_PHYSICAL_LANE,1.0,20,True,20,1.0,0.8388748419471806,1.0,20,1.0,0.8388748419471806,1.0,20,0,0.0,1.0,0.9060357754339247,0.9060357754339247,2,200,0.01,,0.1,10.0,5.9,5.9,5.9,1.0,0.46879362212216796,28.12761732733008,34.457187499999996,43.5,0.3125,0.3125,0.0,43.75,0.46879362212216796,28.12761732733008,34.457187499999996,43.5,320,0.3125,0.0,43.75,0.05,0.0,7.0,1.2611763236763236
6,0.5,1.75,1.75,FALSE_PHYSICAL_LANE,2.0,20,True,20,1.0,0.8388748419471806,1.0,20,1.0,0.8388748419471806,1.0,20,0,0.0,1.0,0.690707050212212,0.690707050212212,15,196,0.07653061224489796,,0.75,9.8,5.35,5.35,5.35,1.0,0.4576247256331556,27.457483537989336,35.1859375,43.5,0.0,0.0,0.0,43.75,0.4576247256331556,27.457483537989336,35.1859375,43.5,320,0.0,0.0,43.75,0.0,0.0,7.0,1.267960372960373
6,0.5,1.75,1.75,FALSE_PHYSICAL_LANE,3.0,20,True,20,1.0,0.8388748419471806,1.0,20,1.0,0.8388748419471806,1.0,20,0,0.0,1.0,0.8795600805112753,0.8795600805112753,62,199,0.31155778894472363,,3.1,9.95,4.3,4.3,4.3,1.0,0.450547769485466,27.03286616912796,35.6721875,45.2,0.0,0.0,0.0,43.75,0.450547769485466,27.03286616912796,35.6721875,45.2,320,0.0,0.0,43.75,0.0,0.0,7.0,1.2729062604062604
