b,sigma_lat_m,delta_m,effective_delta_m,claim_kind,k,repetitions,false_certificate_applicable,false_lane_certificates,false_certificate_rate,wilson95_low,wilson95_high,conflicting_cooccupancy_runs,conflicting_cooccupancy_rate,conflicting_cooccupancy_wilson95_low,conflicting_cooccupancy_wilson95_high,gate_induced_conflicting_cooccupancy_runs,background_conflicting_cooccupancy_runs,background_conflicting_cooccupancy_rate,prediction_support_coverage,mean_binomial_prediction,mean_binomial_prediction_available_runs,honest_lane_accepts_total,honest_lane_evaluations_total,pooled_q0_empirical,pooled_q1_empirical,mean_honest_lane_accepts,mean_h_lane,mean_b_sig,mean_b_sig_cert,mean_b_sig_attempt,b_sig_attempt_coverage
0,0.5,1.75,0.0,HONEST_CONTROL,3.0,20,False,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938,0,0,0.0,0.0,,,209,209,,1.0,10.45,10.45,0.0,0.0,,0.0
1,0.5,1.75,1.75,FALSE_PHYSICAL_LANE,3.0,20,True,10,0.5,0.2992980081982123,0.7007019918017877,10,0.5,0.2992980081982123,0.7007019918017877,10,0,0.0,1.0,0.4926037631596884,0.4926037631596884,95,294,0.3231292517006803,,4.75,14.7,0.5,0.5,1.0,1.0
2,0.5,1.75,1.75,FALSE_PHYSICAL_LANE,3.0,20,True,15,0.75,0.531299122381256,0.8881382985923343,15,0.75,0.531299122381256,0.8881382985923343,15,0,0.0,1.0,0.6354472214044723,0.6354472214044723,85,273,0.31135531135531136,,4.25,13.65,1.45,1.45,1.95,1.0
3,0.5,1.75,1.75,FALSE_PHYSICAL_LANE,3.0,20,True,18,0.9,0.6989663547715128,0.9721335187862319,18,0.9,0.6989663547715128,0.9721335187862319,18,0,0.0,1.0,0.7953615418962678,0.7953615418962678,87,256,0.33984375,,4.35,12.8,2.65,2.65,2.95,1.0
4,0.5,1.75,1.75,FALSE_PHYSICAL_LANE,3.0,20,True,17,0.85,0.6395811352592431,0.9476312541037835,17,0.85,0.6395811352592431,0.9476312541037835,17,0,0.0,1.0,0.83006917505714,0.83006917505714,72,237,0.3037974683544304,,3.6,11.85,2.85,2.85,3.45,1.0
5,0.0,1.75,1.75,FALSE_PHYSICAL_LANE,3.0,20,True,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938,0,0,0.0,0.0,,,0,220,0.0,,0.0,11.0,0.0,0.0,,0.0
5,0.25,1.75,1.75,FALSE_PHYSICAL_LANE,3.0,20,True,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938,0,0,0.0,0.0,,,0,220,0.0,,0.0,11.0,0.0,0.0,,0.0
5,0.5,1.61,1.61,FALSE_PHYSICAL_LANE,3.0,20,True,20,1.0,0.8388748419471806,1.0,20,1.0,0.8388748419471806,1.0,20,0,0.0,1.0,0.9392502647943747,0.9392502647943747,92,213,0.431924882629108,,4.6,10.65,4.05,4.05,4.05,1.0
5,0.5,1.75,1.75,FALSE_PHYSICAL_LANE,2.0,20,True,12,0.6,0.3865815007622531,0.781193467627183,12,0.6,0.3865815007622531,0.781193467627183,12,0,0.0,0.6,,0.4952214235741761,14,217,0.06451612903225806,,0.7,10.85,2.95,2.95,4.916666666666667,0.6
5,0.5,1.75,1.75,FALSE_PHYSICAL_LANE,2.5,20,True,17,0.85,0.6395811352592431,0.9476312541037835,17,0.85,0.6395811352592431,0.9476312541037835,17,0,0.0,0.85,,0.7466552842341215,37,215,0.17209302325581396,,1.85,10.75,4.0,4.0,4.705882352941177,0.85
5,0.5,1.75,1.75,FALSE_PHYSICAL_LANE,3.0,20,True,20,1.0,0.8388748419471806,1.0,20,1.0,0.8388748419471806,1.0,20,0,0.0,1.0,0.8995539073827518,0.8995539073827518,76,216,0.35185185185185186,,3.8,10.8,4.25,4.25,4.25,1.0
5,0.5,2.0,2.0,FALSE_PHYSICAL_LANE,3.0,20,True,20,1.0,0.8388748419471806,1.0,20,1.0,0.8388748419471806,1.0,20,0,0.0,1.0,0.7801207212577835,0.7801207212577835,32,216,0.14814814814814814,,1.6,10.8,4.8,4.8,4.8,1.0
5,0.5,2.4,2.4,FALSE_PHYSICAL_LANE,3.0,20,True,6,0.3,0.1454772448676043,0.5189728183535235,6,0.3,0.1454772448676043,0.5189728183535235,6,0,0.0,0.3,,0.28567312589181787,8,220,0.03636363636363636,,0.4,11.0,1.45,1.45,4.833333333333333,0.3
5,0.5,3.2,3.2,FALSE_PHYSICAL_LANE,3.0,20,True,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938,0,0,0.0,0.0,,,0,220,0.0,,0.0,11.0,0.0,0.0,,0.0
5,0.75,1.75,1.75,FALSE_PHYSICAL_LANE,3.0,20,True,20,1.0,0.8388748419471806,1.0,20,1.0,0.8388748419471806,1.0,20,0,0.0,1.0,0.981091074839416,0.981091074839416,132,175,0.7542857142857143,,6.6,8.75,3.55,3.55,3.55,1.0
5,1.0,1.75,1.75,FALSE_PHYSICAL_LANE,3.0,20,True,20,1.0,0.8388748419471806,1.0,20,1.0,0.8388748419471806,1.0,20,0,0.0,1.0,0.9973855364260065,0.9973855364260065,148,165,0.896969696969697,,7.4,8.25,3.45,3.45,3.45,1.0
5,1.5,1.75,1.75,FALSE_PHYSICAL_LANE,3.0,20,True,20,1.0,0.8388748419471806,1.0,20,1.0,0.8388748419471806,1.0,20,0,0.0,1.0,0.9998758779859152,0.9998758779859152,153,154,0.9935064935064936,,7.65,7.7,3.05,3.05,3.05,1.0
5,2.0,1.75,1.75,FALSE_PHYSICAL_LANE,3.0,20,True,20,1.0,0.8388748419471806,1.0,20,1.0,0.8388748419471806,1.0,20,0,0.0,1.0,0.9974896999826518,0.9974896999826518,132,134,0.9850746268656716,,6.6,6.7,3.1,3.1,3.1,1.0
5,3.0,1.75,1.75,FALSE_PHYSICAL_LANE,3.0,20,True,20,1.0,0.8388748419471806,1.0,20,1.0,0.8388748419471806,1.0,20,0,0.0,1.0,0.9999962040623753,0.9999962040623753,118,118,1.0,,5.9,5.9,3.1,3.1,3.1,1.0
6,0.5,1.75,1.75,FALSE_PHYSICAL_LANE,3.0,20,True,20,1.0,0.8388748419471806,1.0,20,1.0,0.8388748419471806,1.0,20,0,0.0,1.0,0.9116736249360196,0.9116736249360196,68,198,0.3434343434343434,,3.4,9.9,4.6,4.6,4.6,1.0
