n,f,role,configured_b,attempted_runs,repetitions,passing_runs,false_certificates,false_certificate_rate,false_certificate_wilson95_low,false_certificate_wilson95_high,conflicting_cooccupancy_rate,conflicting_cooccupancy_wilson95_low,conflicting_cooccupancy_wilson95_high,unsafe_given_false_authority_rate,target_cobatch_rate,background_conflicting_cooccupancy_runs,background_conflicting_cooccupancy_rate,sumo_collision_rate,sumo_collision_wilson95_low,sumo_collision_wilson95_high,mean_h_lane,mean_b_sig_attempt,mean_b_sig_cert,pooled_q0_empirical,mean_binomial_prediction,mean_throughput_veh_per_min,mean_wait_s,p95_wait_s,mean_cert_latency_ms,mean_cert_latency_p95_ms,mean_batch_size,mean_quiet_count,mean_signed_unknown_count,mean_left_table_forced_singleton_count
4,1,cliff_bf1,2,20,20,20,20,1.0,0.8388748419471806,1.0,0.85,0.6395811352592431,0.9476312541037835,0.85,0.95,0,0.0,0.0,0.0,0.16112515805281938,1.85,1.85,1.85,0.08108108108108109,0.8600210773418944,15.079797259950904,15.928749999999999,18.1,12284.223750000001,13232.54775,1.2916666666666665,0.0,0.5,0.85
4,1,honest,0,20,20,20,0,0.0,0.0,0.16112515805281938,0.0,0.0,0.16112515805281938,,0.0,0,0.0,0.0,0.0,0.16112515805281938,1.45,0.0,0.0,0.8620689655172413,,14.226443603304926,16.875,19.299999999999997,11908.66,12385.66275,1.0,0.0,0.7,1.65
4,1,shoulder_bf,1,20,20,20,3,0.15,0.052368745896216595,0.36041886474075696,0.1,0.027866481213768224,0.3010336452284873,0.6666666666666666,0.1,0,0.0,0.0,0.0,0.16112515805281938,2.75,1.0,0.15,0.05454545454545454,0.17236888001848039,14.061196126498874,17.0825,19.799999999999997,11954.51,12346.7805,1.0333333333333332,0.85,0.5,0.85
8,2,cliff_bf1,3,20,20,20,20,1.0,0.8388748419471806,1.0,0.85,0.6395811352592431,0.9476312541037835,0.85,0.9,0,0.0,0.0,0.0,0.16112515805281938,4.25,2.95,2.95,0.058823529411764705,0.9564575582477246,25.192351426641043,19.07,23.22499999999999,12288.385625,13543.00925,1.207142857142857,0.0,1.65,2.3
8,2,honest,0,20,20,20,0,0.0,0.0,0.16112515805281938,0.0,0.0,0.16112515805281938,,0.0,0,0.0,0.0,0.0,0.16112515805281938,4.35,0.0,0.0,0.9080459770114943,,24.179197598433174,19.869375,23.70999999999999,12066.043125,13059.980749999999,1.0797619047619047,0.0,1.65,3.2
8,2,shoulder_bf,2,20,20,20,10,0.5,0.2992980081982123,0.7007019918017877,0.35,0.18119182410108206,0.5671457233147638,0.7,0.35,0,0.0,0.0,0.0,0.16112515805281938,5.7,2.0,1.0,0.11403508771929824,0.32521434380440556,24.264938431598893,19.815,23.709999999999994,12208.649910714286,13464.36425,1.1261904761904762,0.5,1.75,2.4
16,5,cliff_bf1,6,20,20,20,20,1.0,0.8388748419471806,1.0,0.45,0.2581978582556243,0.6579146575496577,0.45,0.4,0,0.0,0.0,0.0,0.16112515805281938,9.9,5.4,5.4,0.08080808080808081,0.7114596974182966,29.21507455312036,32.926875,42.205,13742.178125,15597.53375,1.089981684981685,0.0,7.5,3.8
16,5,honest,0,20,20,20,0,0.0,0.0,0.16112515805281938,0.0,0.0,0.16112515805281938,,0.0,0,0.0,0.0,0.0,0.16112515805281938,10.65,0.0,0.0,0.9577464788732394,,29.023846809401814,33.081875,42.3,13561.766875,15233.13375,1.0534432234432234,0.0,8.65,4.0
16,5,shoulder_bf,5,20,20,20,7,0.35,0.18119182410108206,0.5671457233147638,0.15,0.052368745896216595,0.36041886474075696,0.42857142857142855,0.15,0,0.0,0.0,0.0,0.16112515805281938,10.9,4.85,1.6,0.0779816513761468,0.4750404394123826,32.48419367059802,29.796875,39.27000000000001,13666.513083333333,15290.266,1.0661446886446886,0.65,7.55,3.55
20,6,cliff_bf1,7,20,20,20,20,1.0,0.8388748419471806,1.0,0.45,0.2581978582556243,0.6579146575496577,0.45,0.4,0,0.0,0.0,0.0,0.16112515805281938,12.3,6.7,6.7,0.07723577235772358,0.8580440222305012,33.67550996386561,35.771,46.7,12772.48885,14366.69,1.0550207012629613,0.0,11.4,3.85
20,6,honest,0,20,20,20,0,0.0,0.0,0.16112515805281938,0.0,0.0,0.16112515805281938,,0.0,0,0.0,0.0,0.0,0.16112515805281938,17.1,0.0,0.0,0.9444444444444444,,33.564982259565525,35.85375,46.719999999999985,12721.5453,14383.754,1.0432370141038871,0.0,11.3,4.1
20,6,shoulder_bf,6,20,20,20,10,0.5,0.2992980081982123,0.7007019918017877,0.2,0.08065766257979806,0.41601743225189364,0.4,0.2,0,0.0,0.0,0.0,0.16112515805281938,13.3,6.0,3.0,0.05263157894736842,0.5999229005537573,36.74362268967013,32.8305,44.6,12750.765209210525,14373.849,1.0293096405228759,0.5,11.6,3.55
