n,f,role,configured_b,attempted_runs,repetitions,passing_runs,false_certificate_rate,false_certificate_wilson95_low,false_certificate_wilson95_high,conflicting_cooccupancy_rate,conflicting_cooccupancy_wilson95_low,conflicting_cooccupancy_wilson95_high,sumo_collision_rate,sumo_collision_wilson95_low,sumo_collision_wilson95_high,mean_h_lane,mean_b_sig_attempt,pooled_q0_empirical,mean_binomial_prediction,mean_throughput_veh_per_min,mean_wait_s,p95_wait_s,mean_cert_latency_ms,mean_batch_size,mean_quiet_count,mean_signed_unknown_count
4,1,cliff_bf1,2,1,1,1,1.0,0.20654931437723745,1.0,1.0,0.20654931437723745,1.0,0.0,0.0,0.7934506856227626,2.0,2.0,0.0,1.0,14.837712519319938,16.174999999999997,17.845,12348.05,1.3333333333333333,0.0,0.0
4,1,honest,0,1,1,1,0.0,0.0,0.7934506856227626,0.0,0.0,0.7934506856227626,0.0,0.0,0.7934506856227626,1.0,0.0,1.0,,14.055636896046849,17.075,19.044999999999998,11828.925000000001,1.0,0.0,0.0
4,1,shoulder_bf,1,1,1,1,0.0,0.0,0.7934506856227626,0.0,0.0,0.7934506856227626,0.0,0.0,0.7934506856227626,3.0,1.0,0.0,0.18733012181508968,14.055636896046849,17.075,19.044999999999998,11704.6,1.0,1.0,0.0
8,2,cliff_bf1,3,1,1,1,1.0,0.20654931437723745,1.0,0.0,0.0,0.7934506856227626,0.0,0.0,0.7934506856227626,4.0,3.0,0.0,1.0,23.836126629422722,20.1375,23.805,12420.7,1.1666666666666667,0.0,2.0
8,2,honest,0,1,1,1,0.0,0.0,0.7934506856227626,0.0,0.0,0.7934506856227626,0.0,0.0,0.7934506856227626,3.0,0.0,1.0,,24.015009380863038,19.9875,23.419999999999998,11932.15,1.1428571428571428,0.0,2.0
8,2,shoulder_bf,2,1,1,1,0.0,0.0,0.7934506856227626,0.0,0.0,0.7934506856227626,0.0,0.0,0.7934506856227626,6.0,2.0,0.0,0.33956766909092295,24.631173829377804,19.4875,22.919999999999995,12115.628571428571,1.1666666666666667,1.0,0.0
16,5,cliff_bf1,6,1,1,1,1.0,0.20654931437723745,1.0,1.0,0.20654931437723745,1.0,0.0,0.0,0.7934506856227626,10.0,6.0,0.0,1.0,30.992736077481837,30.974999999999998,39.349999999999994,13629.9125,1.1538461538461537,0.0,5.0
16,5,honest,0,1,1,1,0.0,0.0,0.7934506856227626,0.0,0.0,0.7934506856227626,0.0,0.0,0.7934506856227626,7.0,0.0,1.0,,29.352188037454617,32.70625,40.05,13573.9375,1.1428571428571428,0.0,8.0
16,5,shoulder_bf,5,1,1,1,0.0,0.0,0.7934506856227626,0.0,0.0,0.7934506856227626,0.0,0.0,0.7934506856227626,11.0,5.0,0.0,0.5326037069430828,34.35473048535003,27.94375,36.349999999999994,13508.773333333334,1.0,1.0,8.0
20,6,cliff_bf1,7,1,1,1,1.0,0.20654931437723745,1.0,1.0,0.20654931437723745,1.0,0.0,0.0,0.7934506856227626,13.0,7.0,0.07692307692307693,1.0,34.2514628228914,35.035000000000004,45.63,12773.17,1.0,0.0,12.0
20,6,honest,0,1,1,1,0.0,0.0,0.7934506856227626,0.0,0.0,0.7934506856227626,0.0,0.0,0.7934506856227626,19.0,0.0,1.0,,33.97027600849256,35.325,46.13,12616.1885,1.0,0.0,10.0
20,6,shoulder_bf,6,1,1,1,0.0,0.0,0.7934506856227626,0.0,0.0,0.7934506856227626,0.0,0.0,0.7934506856227626,14.0,6.0,0.0,0.6201611114573564,39.571310799670236,30.325,41.13,12507.042105263157,1.0,1.0,14.0
